Owned	OpenLibrary edition URL	OL edition short URL	ePub URL	ePub short URL	Amazon Kindle URL 1	Amazon Kindle short URL
1	http://openlibrary.org/books/OL14006177M/Silas_Marner	http://bit.ly/1dDJ4Xq	https://archive.org/download/eliotsilasmarner00eliorich/eliotsilasmarner00eliorich.epub	http://bit.ly/1dDJ2ie	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=eliotsilasmarner00eliorich&docid=eliotsilasmarner00eliorich	http://amzn.to/LxFmov
1	http://openlibrary.org/books/OL24786107M/The_history_of_Tom_Jones_a_foundling	http://bit.ly/1dDJbCy	https://archive.org/download/historyoftomjone02fiel/historyoftomjone02fiel.epub	http://bit.ly/1dDJb5w	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=historyoftomjone02fiel&docid=historyoftomjone02fiel	http://amzn.to/LxFnbW
1	http://openlibrary.org/books/OL25175529M/Madame_Bovary	http://bit.ly/1dDJe16	https://archive.org/download/madamebovarytale01flau/madamebovarytale01flau.epub	http://bit.ly/1dDJf51	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=madamebovarytale01flau&docid=madamebovarytale01flau	http://amzn.to/LxFnso
1	http://openlibrary.org/books/OL7065494M/Extracts_from_the_autobiography_and_other_writings_of_Benjamin_Franklin	http://bit.ly/1dDJhtR	https://archive.org/download/extractsfromauto00franrich/extractsfromauto00franrich.epub	http://bit.ly/1dDJfSP	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=extractsfromauto00franrich&docid=extractsfromauto00franrich	http://amzn.to/LxFnIV
1	http://openlibrary.org/books/OL7242303M/Faust	http://bit.ly/1dDJiho	https://archive.org/download/tragedyfaust00goetrich/tragedyfaust00goetrich.epub	http://bit.ly/1dDJgGm	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=tragedyfaust00goetrich&docid=tragedyfaust00goetrich	http://amzn.to/LxFpAp
1	http://openlibrary.org/books/OL24173040M/The_vicar_of_Wakefield	http://bit.ly/1dDJjlm	https://archive.org/download/cu31924013184043/cu31924013184043.epub	http://bit.ly/1dDJkpt	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=cu31924013184043&docid=cu31924013184043	http://amzn.to/LxFrs2
1	http://openlibrary.org/books/OL14016876M/King_Solomon's_mines	http://bit.ly/1dDJq0i	https://archive.org/download/kingsolomonsmi00hagguoft/kingsolomonsmi00hagguoft.epub	http://bit.ly/1dDJnS4	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=kingsolomonsmi00hagguoft&docid=kingsolomonsmi00hagguoft	http://amzn.to/LxFrZh
1	http://openlibrary.org/books/OL13522333M/The_return_of_the_native.	http://bit.ly/1dDJvBg	https://archive.org/download/hardreturnofnative00rich/hardreturnofnative00rich.epub	http://bit.ly/1dDJtJo	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=hardreturnofnative00rich&docid=hardreturnofnative00rich	http://amzn.to/LxFsMT
1	http://openlibrary.org/books/OL24786518M/The_Blithedale_romance	http://bit.ly/1dDJzRu	https://archive.org/download/blithedaleromanc1852hawt/blithedaleromanc1852hawt.epub	http://bit.ly/1dDJygb	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=blithedaleromanc1852hawt&docid=blithedaleromanc1852hawt	http://amzn.to/LxFuUL
1	http://openlibrary.org/books/OL6551208M/Hedda_Gabler	http://bit.ly/1dDJNIn	https://archive.org/download/heddagableradra00gossgoog/heddagableradra00gossgoog.epub	http://bit.ly/1dDJL35	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=heddagableradra00gossgoog&docid=heddagableradra00gossgoog	http://amzn.to/LxFBQo
1	http://openlibrary.org/books/OL6963983M/Washington_Irving's_Sketch_book	http://bit.ly/1dDJPjm	https://archive.org/download/washingtonirving00irvi/washingtonirving00irvi.epub	http://bit.ly/1dDJMnI	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=washingtonirving00irvi&docid=washingtonirving00irvi	http://amzn.to/LxFCDS
1	http://openlibrary.org/books/OL6974349M/Daisy_Miller	http://bit.ly/1dDK0eA	https://archive.org/download/daisymiller01jamegoog/daisymiller01jamegoog.epub	http://bit.ly/1dDJZHz	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=daisymiller01jamegoog&docid=daisymiller01jamegoog	http://amzn.to/LxFF2D
1	http://openlibrary.org/books/OL17945634M/The_ambassadors.	http://bit.ly/1dDK4e5	https://archive.org/download/ambassadors01jameuoft/ambassadors01jameuoft.epub	http://bit.ly/1dDK3H6	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=ambassadors01jameuoft&docid=ambassadors01jameuoft	http://amzn.to/LxFHat
1	http://openlibrary.org/books/OL24445555M/The_American_scene	http://bit.ly/1dDK2De	https://archive.org/download/americanscene00jame/americanscene00jame.epub	http://bit.ly/1dDK4uT	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=americanscene00jame&docid=americanscene00jame	http://amzn.to/LxFGnc
1	http://openlibrary.org/books/OL24186461M/Europeans	http://bit.ly/1dDK6CX	https://archive.org/download/cu31924022162956/cu31924022162956.epub	http://bit.ly/1dDK6mt	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=cu31924022162956&docid=cu31924022162956	http://amzn.to/LxFJPL
1	http://openlibrary.org/books/OL7130123M/Washington_Square.	http://bit.ly/1dDKf9j	https://archive.org/download/washingtonsqua00jameuoft/washingtonsqua00jameuoft.epub	http://bit.ly/1dDKelI	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=washingtonsqua00jameuoft&docid=washingtonsqua00jameuoft	http://amzn.to/LxFJiR
1	http://openlibrary.org/books/OL23359535M/What_Maisie_knew.	http://bit.ly/1dDKgKx	https://archive.org/download/whatmaisieknew00jameuoft/whatmaisieknew00jameuoft.epub	http://bit.ly/1dDKfWZ	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=whatmaisieknew00jameuoft&docid=whatmaisieknew00jameuoft	http://amzn.to/LxFLar
1	http://openlibrary.org/books/OL24174537M/Captains_courageous	http://bit.ly/1dDKoJV	https://archive.org/download/cu31924013493246/cu31924013493246.epub	http://bit.ly/1dDKlOa	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=cu31924013493246&docid=cu31924013493246	http://amzn.to/LxFMLt
